Genotype,Range,Plate,Amount_Consumed,Total_Consumed,Con_Ratio,Latitude,Longitude,Population,Pair
SpainW65390,Native,5,22.96802258,32.93520821,0.697369892,28.15,-16.633333,MP-W65390,67
CMS12_4,Native,3,22.45484837,32.15622052,0.698304963,38.7,-9.1833,Portugal1,62
SpainW65325,Native,2,23.91240306,34.20018474,0.699189295,36.533333,-6.3,MP-W65325,14
GILNS13_6,Native,2,23.58245,33.67744539,0.700244621,37.708491,-8.099286,Portugal2,29
HungaryW65565,Native,5,30.75678354,43.84001735,0.70156869,47.333333,19.883333,MP-W65565,83
SpainW65390,Native,2,22.79875945,32.40551642,0.70354563,28.15,-16.633333,MP-W65390,52
AlgeriaW65435,Native,1,17.26237649,24.49720449,0.7046672,35.7,2.6,MP-W65435,66
St.Augustine_14,Invasive,5,24.85652227,35.13039907,0.707550239,31.61666667,65.71666667,Florida1,29
Starlight,Invasive,1,21.64392374,30.56484686,0.708131267,33.3833,-118.4167,California3,33
SpainW65325,Native,4,31.82923505,44.94508776,0.708180507,36.533333,-6.3,MP-W65325,49
St.Augustine_14,Invasive,1,35.99609361,50.67666158,0.710309095,31.61666667,65.71666667,Florida1,78
UzbekistanW68297,Native,2,20.45971065,28.78784748,0.710706511,40.066667,68.416667,MP-W68297,53
MaltaW65375,Native,3,22.92416464,32.25470604,0.710723099,35.866667,14.366667,MP-W65375,48
ChilePI368950,Invasive,3,18.76478106,26.40039287,0.710776584,-31.61,-71.53,MP-PI368950,66
AustraliaPI197336,Invasive,4,14.64847161,20.59051332,0.711418476,-34.53333333,138.7333333,PI197336,43
SpainW65390,Native,4,15.78245,22.16139721,0.71215952,28.15,-16.633333,MP-W65390,24
GILNS10_6,Native,5,24.63561181,34.52710441,0.713515142,37.708491,-8.099286,Portugal2,42
SpainW65390,Native,5,23.23080267,32.43515507,0.716222957,28.15,-16.633333,MP-W65390,10
ChilePI368940,Invasive,5,14.44099663,20.16165848,0.716260353,-31.7,-71.56,MP-PI368940,69
IranPI227025,Native,4,22.34502196,31.13761278,0.71762155,32.63,48.26,MP-PI227025,68
AustraliaW65527,Invasive,1,17.7043524,24.59239535,0.71991167,-35.3,149.1333333,MP-W65527,57
TurkmenistanW62449,Native,2,22.86399725,31.73092161,0.720558877,37.444722,54.230556,MP-W624449,34
AlgeriaW65435,Native,4,11.38778168,15.73112974,0.723901072,35.7,2.6,MP-W65435,59
CMS12_4,Native,2,17.24099663,23.81539597,0.723943312,38.7,-9.1833,Portugal1,62
HungaryW65565,Native,5,21.67764086,29.93546948,0.724145679,47.333333,19.883333,MP-W65565,28
AustraliaW65527,Invasive,2,14.90194783,20.52098892,0.726180784,-35.3,149.1333333,MP-W65527,58
UzbekistanW68297,Native,1,17.78056797,24.41325267,0.728316223,40.066667,68.416667,MP-W68297,69
GreeceW65319,Native,3,23.42092312,32.15627366,0.728346927,39.06666667,21.98333333,MP-W65319,26
GILNS1_2,Native,2,17.88271127,24.52449171,0.729177652,37.708491,-8.099286,Portugal2,47
NM58_13,Invasive,2,15.48992498,21.22982339,0.729630421,34.2238,-118.0616,California2,9
UzbekistanW68297,Native,5,25.20409113,34.30682277,0.734667016,40.066667,68.416667,MP-W68297,45
